Saison,Parcelle,Espèce,Age,Pénalité,Dates plantation,Plants,Plants Productifs,Taux de Productivité (%),Poids produit (g),Nombre de truffe,Poids moyen (g),Production au plant (g),Plants Non-Productifs à Nouveau,Expected_Production,State_Space_Forecast,Total_Expected_Production,Total_State_Space_Forecast
2025 - 2026,I,Chêne pubescent,2,,01/03/2024,11,0,0.0,0,0,0,0,0,0.03896631513742556,0.033670837010262765,0.42862946651168116,0.3703792071128904
2025 - 2026,I,Chêne pubescent,4,,10/10/2021,2,0,0.0,0,0,0,0,0,2.7472089688578927,2.373866379135831,5.494417937715785,4.747732758271662
2025 - 2026,I,Chêne pubescent,6,-1: planted outside October -> March,27/04/2018,283,63,22.26,4347,134,32,15,2,18.81103507739222,16.25463669970862,5323.522926901998,4600.06218601754
2025 - 2026,I,Chêne pubescent,6,,22/11/2019,7,0,0.0,0,0,0,0,0,18.81103507739222,16.25463669970862,131.67724554174555,113.78245689796034
2025 - 2026,I,Chêne vert,3,-1: planted outside November -> March,10/10/2021,29,0,0.0,0,0,0,0,0,0.496401939767995,0.11438439412132531,14.395656253271856,3.317147429518434
2025 - 2026,I,Chêne vert,6,,27/11/2019 - 28/11/2019,129,9,6.98,346,12,28,2,0,18.81103507739222,4.334569786588966,2426.6235249835963,559.1595024699766
2025 - 2026,J,Chêne chevelu,2,,01/03/2024,17,0,0.0,0,0,0,0,0,0.03896631513742556,0.003896631513742556,0.6624273573362345,0.06624273573362345
2025 - 2026,J,Chêne chevelu,4,,10/10/2021,5,0,0.0,0,0,0,0,0,2.7472089688578927,0.27472089688578927,13.736044844289463,1.3736044844289463
2025 - 2026,J,Chêne chevelu,6,-1: planted outside October -> March,16/05/2018,229,8,3.49,183,10,18,0,0,18.81103507739222,1.881103507739222,4307.727032722818,430.77270327228183
2025 - 2026,J,Chêne chevelu,6,,22/11/2019,13,0,0.0,0,0,0,0,0,18.81103507739222,1.881103507739222,244.54345600609884,24.454345600609887
2025 - 2026,J,Chêne pubescent,2,,01/03/2024,34,0,0.0,0,0,0,0,0,0.03896631513742556,0.003896631513742556,1.324854714672469,0.1324854714672469
2025 - 2026,J,Chêne pubescent,4,,10/10/2021,4,0,0.0,0,0,0,0,0,2.7472089688578927,0.27472089688578927,10.98883587543157,1.098883587543157
2025 - 2026,J,Chêne pubescent,6,-1: planted outside October -> March,16/05/2018 - 22/11/2018,787,9,1.14,420,19,22,0,0,18.81103507739222,1.881103507739222,10000.0,1480.4284605907676
2025 - 2026,J,Chêne pubescent,6,,22/11/2019,6,0,0.0,0,0,0,0,0,18.81103507739222,1.881103507739222,112.86621046435332,11.286621046435332
2025 - 2026,J,Chêne vert,2,,01/03/2024,12,0,0.0,0,0,0,0,0,0.03896631513742556,0.003896631513742556,0.4675957816491067,0.04675957816491067
